CID,MW,MF,TPSA,XL,HAC,HBDC,HBAC,RBC,SMILES,Charge,CBUC
135426131,307.77,C16H18ClNO3,69.9,1.7,21,2,4,5,C1C(CC(=O)C(=C1O)C=NCCCO)C2=CC=CC=C2Cl,0,1
24819974,332.4,C17H20N2O5,84.9,1.8,24,1,5,7,C1CCC2(C1)C(=O)N(C(=O)N2)CC(=O)OCCOC3=CC=CC=C3,0,1
2813983,349.8,C17H20ClN3O3,84.2,2.7,24,2,4,6,CC(C)(CC(=O)NC1=CC(=NN1C)C2=CC=C(C=C2)Cl)CC(=O)O,0,1
9549483,390.7,C18H17BrClN3,42.2,NULL,23,2,3,1,CC1=CC(=CC=C1)N2CCC3=C(C4=C(C=CC(=C4)Br)N=C32)N.Cl,0,2
9607640,289.31,C13H11N3O3S,83.6,1.7,20,0,5,3,CN(C1=NS(=O)(=O)C2=CC=CC=C21)N=CC3=CC=CO3,0,1
2816989,383.4,C23H17N3O3,75.4,3.9,29,1,4,2,CC1=CC(=NC2=C1C3=C(O2)C(=O)N(CC(=O)N3)C4=CC=CC=C4)C5=CC=CC=C5,0,1
1451227,229.3,C9H15N3O2S,93.3,1.4,15,1,5,6,CCCC1=NN=C(N1CC)SCC(=O)O,0,1
4797155,307.33,C13H13N3O4S,126,1.1,21,2,6,5,CCOC(=O)C1=C(N=C(S1)NC(=O)C2=CNC(=O)C=C2)C,0,1
2842402,253.36,C13H19NO2S,45.8,2.7,17,0,3,2,CC1CCCN(C1)S(=O)(=O)C2=CC=C(C=C2)C,0,1
2237586,323.8,C14H14ClN3O2S,89.4,3.2,21,1,5,5,CCSC1=NC=C(C(=N1)C(=O)NC2=CC=CC=C2OC)Cl,0,1
3709623,379.3,C20H14FN3O4,96.5,3.1,28,1,7,4,CC1=CC=C(O1)C(=O)C2=C(C(=O)N(C2C3=CC=C(C=C3)F)C4=NC=CC=N4)O,0,1
776050,306.8,C15H15ClN2OS,51.8,3.6,20,0,3,2,C1CN(CCN1C2=CC=C(C=C2)Cl)C(=O)C3=CC=CS3,0,1
9634227,352.5,C15H20N4O2S2,126,2.7,23,2,5,3,CC1=CC=C(C=C1)C=NN2C(C(SC2=S)(C)C)N(C(=O)NC)O,0,1
2316696,190.16,C8H6N4O2,62.1,1,14,0,5,1,C1OC2=C(O1)C=C(C=C2)N3C=NN=N3,0,1
2920814,389.3,C20H18Cl2N2O2,62.2,5.5,26,2,3,4,CC(C)C(=O)NC(C1=C(C=C(C=C1)Cl)Cl)C2=C(C3=C(C=CC=N3)C=C2)O,0,1
1259900,309.09,C12H6BrFN2O2,52.1,3.7,18,0,5,2,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=C(O3)Br)F,0,1
2811304,340.19,C13H10BrNO3S,75.8,3.2,19,1,4,3,C1OC2=C(O1)C=C(C=C2)CNC(=O)C3=C(C=CS3)Br,0,1
749619,266.3,C12H18N4O3,92.7,2.1,19,1,4,3,CC1=CC(=NN1CC(=O)NC2CCCCC2)[N+](=O)[O-],0,1
2819053,365.5,C17H16FNOS3,105,4.4,23,1,5,5,C1CSC(S1)C2=CC=C(C=C2)NC(=O)CSC3=CC=C(C=C3)F,0,1
3099832,309.4,C17H15N3OS,83.1,3.9,22,1,4,4,CC1=CC=C(C=C1)C(=O)NC2=NN=C(S2)CC3=CC=CC=C3,0,1
914528,338.8,C19H19ClN4,32.299,4.1,24,0,4,2,CN1CCN(CC1)C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4Cl,0,1
4882299,308.8,C15H17ClN2OS,60.6,3.4,20,1,3,5,CC(C(=O)NC1=CC=C(C=C1)Cl)N(C)CC2=CC=CS2,0,1
16189388,314.34,C16H18N4O3,88.7,1.4,23,2,5,4,CCN1C(=C(C=N1)C2=NOC(C2)C(=O)NC3=CC(=CC=C3)O)C,0,1
1868227,396.4,C21H17FN2O5,77.4,2.5,29,0,7,5,COCCN1C(=NC2=C(C1=O)C(=O)C3=C(O2)C=C(C=C3)OC)C4=CC=C(C=C4)F,0,1
9156735,341.4,C20H24FN3O,35.6,3.5,25,1,3,3,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)NCC3=CC=C(C=C3)F)C,0,1
3425553,309.4,C19H19NO3,55.4,4.3,23,1,3,6,CCC(C)(C#C)NC(=O)C1=CC2=C(C(=CC=C2)CC=C)OC1=O,0,1
886080,280.36,C14H17FN2OS,73.2,4,19,2,3,2,C1CCC(CC1)C(=O)NC(=S)NC2=CC=C(C=C2)F,0,1
738300,308.4,C14H16N2O2S2,77.2,2.7,20,0,5,3,C1CN(CCN1C2=CC=CC=C2)S(=O)(=O)C3=CC=CS3,0,1
1863212,340.4,C12H12N4O4S2,164,2,22,1,8,5,CC(=O)NC1=NN=C(S1)SCC2=C(C=CC(=C2)[N+](=O)[O-])OC,0,1
2739969,374.4,C20H17F3N2O2,45.3,4.2,27,1,5,2,COC1=CC=C(C=C1)C(=O)N2CCC3=C(C2C(F)(F)F)NC4=CC=CC=C34,0,1
967770,287.4,C16H17NO2S,63.6,3.6,20,1,3,5,CCOC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2SC,0,1
135569083,263.38,C15H25N3O,50.3,3.9,19,1,3,5,CCCCC1=NNC2=C1C(=NOCC)CC(C2)(C)C,0,1
3088576,396.4,C21H24N4O4,111,0.5,29,4,5,9,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)CC(=O)NCCNCCO)C3=CC=CC=C3,0,1
3120489,319.4,C17H25N3O3,70.7,1.2,23,2,4,7,C1COCCN1CCCNC(=O)C(=O)NCCC2=CC=CC=C2,0,1
135536868,308.4,C17H12N2O2S,79.9,3.7,22,1,4,3,C1=CC=C(C=C1)SCC2=NC3=C(C(=O)N2)OC4=CC=CC=C43,0,1
2343013,317.4,C16H15NO4S,101,3.4,22,2,5,6,CSC1=CC=CC=C1NC(=O)COC(=O)C2=CC=CC=C2O,0,1
1262770,364.5,C17H20N2O3S2,94.3,2.7,24,0,5,3,CC1=C(C=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC=CS3)C,0,1
